State ,Location,Shell Length,Shell Width,Aperture Length,Weight,Condition,Infection status,Combo,Individual,Trial,Baseline,Water,Refuge
NC,AB,19.48,13.76,6.11,1.6,none,0,0,39,3,0.01,0.1,9
NC,AB,15.93,11.18,4.66,1.17,none,0,0,40,1,0.01,0.1,9
NC,AB,15.93,11.18,4.66,1.17,none,0,0,40,2,0.01,0.1,9
NC,AB,15.93,11.18,4.66,1.17,none,0,0,40,3,0.01,0.1,9
NC,AB,18.75,13.87,6.01,1.7,none,0,0,41,3,0.01,0.1,0.1
NC,AB,18.75,13.87,6.01,1.7,none,0,0,41,1,0.01,0.1,9
NC,AB,18.75,13.87,6.01,1.7,none,0,0,41,2,0.01,0.1,9
NC,AB,20.28,14.26,6.09,1.76,none,0,0,42,1,0.01,0.1,6
NC,AB,20.28,14.26,6.09,1.76,none,0,0,42,3,0.01,0.1,9
NC,AB,20.28,14.26,6.09,1.76,none,0,0,42,2,7,9,4
NC,AB,18.41,13.43,5.76,1.47,none,0,0,43,2,0.01,0.1,0.1
NC,AB,18.41,13.43,5.76,1.47,none,0,0,43,1,15,9,0.1
NC,AB,18.41,13.43,5.76,1.47,none,0,0,43,3,23,9,9
NC,AB,18.41,12.98,5.51,1.62,none,0,0,44,1,0.01,0.1,9
NC,AB,18.41,12.98,5.51,1.62,none,0,0,44,2,0.01,0.1,9
NC,AB,18.41,12.98,5.51,1.62,none,0,0,44,3,0.01,0.1,9
NC,AB,19.61,13.12,5.41,1.7,none,0,0,45,1,0.01,0.1,9
NC,AB,19.61,13.12,5.41,1.7,none,0,0,45,2,0.01,0.1,9
NC,AB,19.61,13.12,5.41,1.7,none,0,0,45,3,14,9,8
NC,AB,19.29,13.51,6.26,1.5,none,1,2,46,2,0.01,0.1,0.1
NC,AB,19.29,13.51,6.26,1.5,none,1,2,46,3,0.01,0.1,0.1
NC,AB,19.29,13.51,6.26,1.5,none,1,2,46,1,0.01,0.1,9
NC,AB,17.59,11.97,5.58,1.22,none,0,1,47,1,0.01,0.1,0.1
NC,AB,17.59,11.97,5.58,1.22,none,0,1,47,2,0.01,0.1,0.1
NC,AB,17.59,11.97,5.58,1.22,none,0,1,47,3,0.01,0.1,0.1
NC,AB,19.01,13.43,6,1.67,none,0,1,48,2,0.01,0.1,0.1
NC,AB,19.01,13.43,6,1.67,none,0,1,48,3,0.01,0.1,0.1
NC,AB,19.01,13.43,6,1.67,none,0,1,48,1,0.01,0.1,9
NC,AB,17.65,12.73,5.56,1.29,none,0,1,49,1,0.01,0.1,0.1
NC,AB,17.65,12.73,5.56,1.29,none,0,1,49,2,0.01,0.1,0.1
NC,AB,17.65,12.73,5.56,1.29,none,0,1,49,3,13,9,0.1
NC,AB,19.37,13.48,5.75,1.68,none,0,1,50,1,0.01,0.1,0.1
NC,AB,19.37,13.48,5.75,1.68,none,0,1,50,2,0.01,0.1,0.1
NC,AB,19.37,13.48,5.75,1.68,none,0,1,50,3,0.01,0.1,0.1
NC,AB,19.26,13.91,5.8,1.7,none,0,0,51,1,0.01,0.1,0.1
NC,AB,19.26,13.91,5.8,1.7,none,0,0,51,2,0.01,0.1,0.1
NC,AB,19.26,13.91,5.8,1.7,none,0,0,51,3,0.01,0.1,9
NC,AB,16.87,12.8,5.35,1.27,none,0,0,52,2,0.01,0.1,0.1
NC,AB,16.87,12.8,5.35,1.27,none,0,0,52,3,0.01,0.1,0.1
NC,AB,16.87,12.8,5.35,1.27,none,0,0,52,1,0.01,0.1,9
NC,AB,18.45,12.54,5.54,1.49,none,0,0,53,1,0.01,0.1,0.1
NC,AB,18.45,12.54,5.54,1.49,none,0,0,53,3,0.01,0.1,4
NC,AB,18.45,12.54,5.54,1.49,none,0,0,53,2,0.01,0.1,9
NC,AB,18.55,12.75,5.91,1.58,none,0,0,54,1,0.01,0.1,0.1
NC,AB,18.55,12.75,5.91,1.58,none,0,0,54,2,0.01,0.1,0.1
NC,AB,18.55,12.75,5.91,1.58,none,0,0,54,3,0.01,0.1,0.1
NC,AB,18.04,12.71,5.23,1.43,none,0,0,55,2,0.01,0.1,0.1
NC,AB,18.04,12.71,5.23,1.43,none,0,0,55,3,0.01,0.1,9
NC,AB,18.04,12.71,5.23,1.43,none,0,0,55,1,15,9,0.1
NC,AB,20.38,14.31,6.58,2.02,none,0,1,56,1,0.01,0.1,0.1
NC,AB,20.38,14.31,6.58,2.02,none,0,1,56,2,0.01,0.1,0.1
NC,AB,20.38,14.31,6.58,2.02,none,0,1,56,3,27,9,9
NC,AB,19.69,14.38,5.96,1.81,none,0,1,57,2,0.01,0.1,0.1
NC,AB,19.69,14.38,5.96,1.81,none,0,1,57,3,0.01,0.1,9
NC,AB,19.69,14.38,5.96,1.81,none,0,1,57,1,15,9,9
NC,AB,20.03,14.02,6.27,2.09,none,0,1,58,2,0.01,0.1,0.1
NC,AB,20.03,14.02,6.27,2.09,none,0,1,58,1,0.01,0.1,9
NC,AB,20.03,14.02,6.27,2.09,none,0,1,58,3,5,2,0.1
NC,AB,18.22,13.66,5.77,1.58,none,0,1,59,2,0.01,0.1,2
NC,AB,18.22,13.66,5.77,1.58,none,0,1,59,1,18,9,9
NC,AB,18.22,13.66,5.77,1.58,none,0,1,59,3,28,9,9
NC,AB,16.44,11.78,5.12,1.13,none,1,2,60,1,9,9,0.1
NC,AB,16.44,11.78,5.12,1.13,none,1,2,60,2,16,9,0.1
